gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
C46F9.5,187.2095894198578,-6.966769613887867,0.7808519080875795,5.710946067766122e-20,7.364264954384415e-16,C46F9.5
lin-42,131.78539604830345,7.339234660987002,0.9023554122833928,3.9027307197646853e-17,2.231396135577652e-13,F47F6.1
F14D7.5,84.40471883088057,-5.142224427972486,0.6240519497870973,5.191305472456733e-17,2.231396135577652e-13,F14D7.5
sqt-3,846.4783809885596,7.128863427627029,0.8931755944195651,1.5591871643743378e-16,5.026429621151772e-13,F23H12.4
C16C4.17,112.31885641168806,-6.613403596667036,0.8308607555324106,2.601967885752543e-16,5.592062647796507e-13,C16C4.17
dpy-10,123.275632686896,7.3456238178466755,0.9296976116029417,2.5414473341176786e-16,5.592062647796507e-13,T14B4.7
F46F2.3,102.43930391067906,5.798409212168781,0.7435535159378232,1.4611875767564529e-15,2.5391131483000605e-12,F46F2.3
Y75B7AR.1,120.83023087449861,6.645699387226894,0.8597316373476258,1.575254376611127e-15,2.5391131483000605e-12,Y75B7AR.1
R08E5.4,222.00751918799585,-6.177201863730513,0.7975133790376651,1.8290224198469715e-15,2.6205826782140774e-12,R08E5.4
F55G11.2,92.05069343262407,5.6212889489552245,0.726394483536815,2.515034611943689e-15,3.243137132101387e-12,F55G11.2
fbxb-98,102.23572608706496,-7.26100414402904,0.9637452533115797,4.702702962718792e-15,5.1608561566221774e-12,C16C4.6
R02F11.1,54.632152117350444,8.560893070036606,1.1641632672615174,5.603100906763124e-15,5.1608561566221774e-12,R02F11.1
mlt-11,160.03599515259862,6.963989212926421,0.9229171768521406,5.312596761681036e-15,5.1608561566221774e-12,W01F3.3
lpr-5,260.22046424796065,6.813870434413285,0.9000519589100924,4.853255651650051e-15,5.1608561566221774e-12,W04G3.2
wrt-10,242.51025465759577,7.359420398821555,0.9982212648931871,1.4718781812047403e-14,1.265324609775675e-11,ZK1290.8
F56D2.3,91.59378352283198,9.637914260735114,1.3932222661676301,2.3527501965503955e-14,1.8961696115323345e-11,F56D2.3
C27D9.1,5.8339586043158205,17.46077883236784,3.360697893239422,1.0016597115711744e-13,7.597883518064879e-11,C27D9.1
lpr-3,366.65462880819126,6.676214110532912,0.9402308814250401,1.7200139680786016e-13,1.2321988954651983e-10,W04G3.8
Y69H2.10,140.2677574096464,-5.494436601055185,0.7666246800303793,1.9034319202162461e-13,1.2918291900625524e-10,Y69H2.10
F59A7.11,38.12787120832113,-8.720014795011199,1.2807668184660173,2.1479452109470587e-13,1.384887674758116e-10,F59A7.11
cyn-6,216.70709651386935,3.0887222250308892,0.4828887150244109,2.46803575167763e-13,1.5154914770420493e-10,F42G9.2
dao-6,108.60753237601098,-5.893548641460246,0.8310057844067703,2.8006949726020353e-13,1.641589166895602e-10,T05G5.12
irg-4,63.545295404628476,7.126730679369233,1.0294322698365492,4.4538582105691903e-13,2.4970652880560745e-10,F08G5.6
W06G6.20,164.20005604180176,-5.2904400818028945,0.7560077359247163,6.585641457463281e-13,3.5384102747495413e-10,W06G6.20
clec-248,568.8383027400205,-4.900294659590524,0.7012536145710476,6.970472279051081e-13,3.5953696015345476e-10,Y51A2A.11
clec-249,673.7025802765249,-4.9077230805375605,0.7047064409884487,8.210752703587433e-13,4.0722175427984594e-10,Y51A2A.7
dpy-7,112.77819196104423,8.237107588794487,1.2337217807431382,9.085079188544346e-13,4.338966523565902e-10,F46C8.6
ugt-22,151.27328183263498,3.564870627007214,0.5600743252323208,2.696697306009837e-12,1.2419254200356018e-9,C08F11.8
C06H5.11,142.43790711069232,-6.619747071477281,0.9914796204483303,3.3761761027789775e-12,1.5012341670805142e-9,C06H5.11
C05G5.7,57.17566516101398,8.215554480930624,1.2840678513238473,5.674292242982322e-12,2.438999949108568e-9,C05G5.7
col-17,246.49987734498183,10.122123042118856,1.7680415284984903,8.538809013907697e-12,3.5518691043335403e-9,F11G11.10
fkb-3,73.29172414824666,3.0089290787862812,0.5291706064566232,1.3011530002695765e-11,5.243239980773809e-9,C05C8.3
F23H12.5,77.46201369600522,4.690180466128359,0.7229535970958794,1.6299060705301503e-11,6.3689814483291776e-9,F23H12.5
R11D1.3,262.5600909758022,-2.5695494279763147,0.4729478787352707,1.85527560792494e-11,6.8353654183406004e-9,R11D1.3
Y51A2A.12,65.95381249904743,-4.489444670500675,0.6973717758960113,1.826057520040701e-11,6.8353654183406004e-9,Y51A2A.12
F19H8.2,139.65597947096154,3.2087127166965335,0.5595048234193474,2.223028278681328e-11,7.747553960431275e-9,F19H8.2
sym-1,179.66271447497877,5.563616252868983,0.8609530755658206,2.2172132032090322e-11,7.747553960431275e-9,C44H4.3
calu-1,264.1137378648268,2.638208275231151,0.49153332856423937,2.9381005550811354e-11,9.970212278360853e-9,M03F4.7
cyp-34A2,272.6681251401975,-4.787905268215333,0.7578644513720784,4.86202182129981e-11,1.6075838816836166e-8,T10H4.11
F36D1.5,35.31253932217583,-7.706592239437711,1.2753973563398469,8.399910623439906e-11,2.7079211872314397e-8,F36D1.5
F16B4.5,620.9868682293471,-3.5741215634286614,0.6266120440253747,1.1239592456367997e-10,3.4508224934491745e-8,F16B4.5
droe-4,2954.097938154932,-2.2156335266343428,0.4261394795734355,1.0990165024755254e-10,3.4508224934491745e-8,F58E10.7
dpy-9,69.03439014062471,8.00963960479815,1.357339113812378,1.4360118007803473e-10,4.306365621177344e-8,T21D12.2
asp-14,506.0872154847124,4.137541893818237,0.701228261301532,2.0772938865006757e-10,6.087887424187775e-8,K10C2.3
