gene,baseMean_A,log2FoldChange_A,lfcSE_A,pvalue_A,padj_A,compared_condition_A,gene_wb,baseMean_B,log2FoldChange_B,lfcSE_B,pvalue_B,padj_B,compared_condition_B
dhs-19,824.7132709355068,-6.539600956083823,0.33592286583184555,9.931079474477748e-87,1.3222239212319675e-82,A,T11F9.11,824.7132709355068,-5.498985223032737,0.391763848965736,1.0335042787161292e-46,1.2465095105595233e-42,B
fmo-5,2017.083683527952,-7.618229499867451,0.4327523885345665,6.037656322138399e-72,4.019267813647532e-68,A,H24K24.5,2017.083683527952,-5.956475519143888,0.5097907126268438,8.54721531920257e-34,5.15439819824511e-30,B
ugt-37,851.6848637201861,-8.500161517267518,0.5325599185134307,4.449673442726043e-60,1.9747650738818179e-56,A,F10D2.6,851.6848637201861,-6.761459454705067,0.617311120352266,1.0736054676762726e-30,4.316251848547841e-27,B
cyp-25A3,568.5471089177177,-7.420369866377872,0.4992239457065379,1.535345941395303e-52,5.110398965934266e-49,A,C36A4.3,568.5471089177177,-6.081860807149063,0.5897912654093168,2.8119090372631376e-27,8.478608724607675e-24,B
cyp-13B1,492.4040567484139,-6.244410668834975,0.45950912302407476,2.8396323687772144e-44,7.561373071579967e-41,A,F02C12.5,492.4040567484139,-4.677819961940054,0.5192304006291981,7.683637884110573e-21,1.544539275337627e-17,B
cTel55X.1,1075.8366971516232,-3.5185062049051816,0.2740455040176103,1.9363183492429228e-38,4.296690416970046e-35,A,cTel55X.1,1075.8366971516232,-2.315187362954932,0.3157494677376953,9.799642821024222e-14,7.879566137624877e-11,B
alh-4,462.5039860162689,-4.672082485551472,0.3873261786594334,8.180663450038964e-35,1.555962188197411e-31,A,T05H4.13,462.5039860162689,-3.4760401930541156,0.44445323460215236,9.553602400331219e-16,1.2802888727821647e-12,B
Y25C1A.13,193.4458185127233,-4.232293789395902,0.36673499816183847,7.296317942067807e-32,1.2142897135086349e-28,A,Y25C1A.13,193.4458185127233,-2.4757457153522417,0.42035521912818563,1.4099936961330743e-9,5.001745285017944e-7,B
R09E12.9,262.2375366223038,-7.711114832162483,0.6987163286881394,5.245209934208965e-31,7.759413896006462e-28,A,R09E12.9,262.2375366223038,-5.64317832969826,0.8232597945836683,5.35616925363348e-14,4.614339812005243e-11,B
emb-8,784.5154848891331,-4.207576552468789,0.37917570288531677,1.1838630864637329e-29,1.576195313317814e-26,A,K10D2.6,784.5154848891331,-2.0857718410171087,0.44771007124709056,6.839823398002113e-7,1.0576296154269679e-4,B
cytb-5.1,775.6682564204423,-4.26978240346779,0.39673579832409656,4.335949514130611e-28,5.2480756210122685e-25,A,C31E10.7,775.6682564204423,-3.424233576739673,0.45617641823180816,1.1647428898820194e-14,1.2770876358970034e-11,B
D2063.1,243.84009836705303,-5.727397480562948,0.5645462331316778,3.7860624793896066e-26,4.2006363208827684e-23,A,D2063.1,243.84009836705303,-5.034328888446779,0.6653295596797603,7.808849796837117e-16,1.177281717495656e-12,B
W01A11.1,100.42594502680399,-5.492282011295742,0.5472958639039315,1.5875078458323578e-25,1.6258522661086165e-22,A,W01A11.1,100.42594502680399,-4.576831593684761,0.6395154428419552,3.369922165051903e-14,3.1265100948223846e-11,B
cyp-29A3,83.49605273275621,-6.615795452053313,0.6765739468230656,5.59789371429044e-25,5.323596922290209e-22,A,Y38C9B.1,83.49605273275621,-4.225685273159781,0.6953228552081209,7.927790329391004e-11,4.15726431142543e-8,B
far-2,691.7980010910039,4.400159266141736,0.44329317926401146,2.2309653961087938e-24,1.9802048855861656e-21,A,F02A9.3,691.7980010910039,3.1186513901098145,0.5026485744575561,1.3698451384083278e-10,6.884042589309517e-8,B
acox-3,269.647619171741,-4.07927619792211,0.41670149088737385,1.3081506267364131e-23,1.0885448402730378e-20,A,F58F9.7,269.647619171741,-3.2999373871247917,0.4760532810438016,8.946100218428982e-13,5.994384151915108e-10,B
scl-24,222.26239596345513,5.448534827824993,0.5761186719621508,4.948943513479778e-23,3.875896114027633e-20,A,F08E10.7,222.26239596345513,4.396117555096539,0.5853050839565137,3.1857485434254912e-15,3.842331318225484e-12,B
acs-22,110.21926567260329,-4.939695025296365,0.5319087283986339,5.135380914845775e-22,3.7984700833475917e-19,A,D1009.1,110.21926567260329,-3.230923354695478,0.5823249261219563,6.1257209655578596e-9,1.8470580141398335e-6,B
F16B4.5,620.9868682293471,-4.895406679255354,0.5283330360789904,6.660834210490139e-22,4.667491930445564e-19,A,F16B4.5,620.9868682293471,-1.7002556447172656,0.8494977371717813,4.218377902586214e-4,0.018984274583243407,B
F48G7.4,232.53824798582988,-4.585589536920624,0.4943603803410435,9.409748939530358e-22,6.26406986904536e-19,A,F48G7.4,232.53824798582988,-2.8373348947483144,0.5546071788807675,8.329360774786477e-8,1.8265530964490856e-5,B
F55H2.8,107.65338874626158,-6.673181845174774,0.7864412926706481,7.732406642653926e-20,4.902345811442589e-17,A,F55H2.8,107.65338874626158,-1.6719800833784992,1.2032074273896967,0.0012903606427947753,0.04610721899244353,B
F01D5.3,118.14226004840464,5.416996685558481,0.6322092912439975,1.6844568051523615e-19,1.0194026319908427e-16,A,F01D5.3,118.14226004840464,4.467616578972945,0.7931622586436232,7.738015444152507e-10,2.828127402179497e-7,B
F53C11.3,444.4639421396167,-3.437753032748838,0.393311519353206,4.3348407796628396e-19,2.509307397410045e-16,A,F53C11.3,444.4639421396167,-1.6888782226762313,0.5363956304428731,4.956388518014053e-5,0.0036450610924248475,B
F59E11.7,64.66130025354641,-5.472513997181423,0.6499153764498025,5.552003295005569e-19,3.07997382790434e-16,A,F59E11.7,64.66130025354641,-2.58034905878087,0.7490401507503093,2.8898154527086832e-5,0.0024545115616281285,B
C25E10.5,137.86832155540924,-3.6813858639330883,0.4284209791469418,1.3129811108436469e-18,6.723473272989352e-16,A,C25E10.5,137.86832155540924,-2.0918902234549552,0.5176268663335944,6.410136527149297e-6,7.035186224294247e-4,B
akt-1,1090.637854358222,-3.3922784911789967,0.3977794233956589,2.8118669260157382e-18,1.386562824184205e-15,A,C12D8.10,1090.637854358222,-1.8429018509283208,0.5070072509810356,1.736477511308901e-5,0.0016235391677439268,B
dhs-2,236.87252504793656,-6.711162546127512,0.8355997448030978,3.2392612107198636e-18,1.5402687056972952e-15,A,F55A12.4,236.87252504793656,-4.531958944989457,0.9305161298489686,3.860413051112687e-8,9.502130981524514e-6,B
B0272.4,299.28349878938184,-3.9371283194650846,0.4742870465856719,1.2222127602442166e-17,5.611220927548793e-15,A,B0272.4,299.28349878938184,-3.822911798457651,0.5515660121159086,4.90599500685126e-13,3.4806591633901797e-10,B
ZK550.6,107.06422100342506,-4.206042639128554,0.5097266800363859,1.3469668546764785e-17,5.977838901054212e-15,A,ZK550.6,107.06422100342506,-3.4157711856552857,0.5738657091526526,4.815151247630309e-10,1.9727482186368165e-7,B
abf-1,250.2569326099742,-6.869478953168231,0.8837271052671174,2.173090212111986e-17,9.333071962599671e-15,A,C50F2.10,250.2569326099742,-2.6899662267691715,1.2657962823908009,2.441254023218251e-4,0.01247625626018446,B
F01D5.1,440.64959181856767,5.20616595892257,0.6511328893402524,2.7452837410492642e-17,1.1422096165103095e-14,A,F01D5.1,440.64959181856767,3.231657651930303,0.7193633072276057,1.0274818007259222e-6,1.4752926188756367e-4,B
daf-22,460.6253295647548,-3.66575749997081,0.4463081365204195,3.308733385553245e-17,1.2956610675075265e-14,A,Y57A10C.6,460.6253295647548,-3.496005077494752,0.5153483090020756,2.02926877293716e-12,1.2237505335197543e-9,B
cyp-34A9,50.93031622905498,-5.173569830368207,0.6483138989691711,3.260665226598999e-17,1.2956610675075265e-14,A,B0213.15,50.93031622905498,-1.8742058026473953,0.9614921114842125,4.550222194371737e-4,0.020102648310006417,B
T20B3.1,153.44129702962834,-3.2566647560721758,0.39568581015215815,3.6011983032388265e-17,1.3698958345520495e-14,A,T20B3.1,153.44129702962834,-1.0100480332744919,0.6826584566241999,0.001166518428514662,0.04273610086004102,B
lips-10,369.25999388685733,-4.0685997078997325,0.503570236165605,6.579032058133509e-17,2.367384670864582e-14,A,F14E5.5,369.25999388685733,-3.278080666383027,0.5798457518303455,3.2272606683402193e-9,1.051999754617605e-6,B
F58A6.1,263.6582568104751,-4.187079256610439,0.5205873341876579,7.675512508698645e-17,2.6388882949743465e-14,A,F58A6.1,263.6582568104751,-2.6132891928030024,0.6083990113374544,2.9822952718897472e-6,3.4586022379098306e-4,B
far-3,85.12542994656236,-6.060519258797834,0.7849717705354644,7.729956700014986e-17,2.6388882949743465e-14,A,F15B9.1,85.12542994656236,-5.258840189776096,0.8967173826585927,5.727401091901288e-11,3.139917480428247e-8,B
