gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
R02F11.1,54.632152117350444,7.579205865196321,0.80977478383528,3.601164338201692e-22,4.794590199881733e-18,A,R02F11.1
Y75B7AR.1,120.83023087449861,7.313422856463153,0.8096179801028577,9.432428133405109e-21,6.279167408407781e-17,A,Y75B7AR.1
mlt-11,160.03599515259862,6.124978416795289,0.8062901595060508,4.129152321882563e-15,1.8325178004514815e-11,A,W01F3.3
F56D2.3,91.59378352283198,6.253391945729349,0.8539297271346699,2.9579647337293566e-14,9.845585616218163e-11,A,F56D2.3
cyn-6,216.70709651386935,2.9292115365462625,0.4003258557043903,1.6362452563497414e-13,4.356993868608092e-10,A,F42G9.2
dpy-10,123.275632686896,5.20212029997975,0.7473343363156445,8.116164366261693e-13,1.8009768728734698e-9,A,T14B4.7
wrt-10,242.51025465759577,5.9410285334982715,0.8703757840699412,1.3001735265619712e-12,2.1638137915807607e-9,A,ZK1290.8
lpr-3,366.65462880819126,5.655014134282408,0.8492715958222806,4.948975675678645e-12,7.321184682887275e-9,A,W04G3.8
lpr-5,260.22046424796065,4.9948872103373585,0.7944900333097518,8.556391222795358e-11,1.139197927402974e-7,A,W04G3.2
ZK1025.3,27.771739355765064,6.925571946644528,1.1492754112609302,1.0258226829315561e-10,1.2416184727773398e-7,A,ZK1025.3
dpy-7,112.77819196104423,5.660442291479487,0.9160696904058139,1.1195545549446054e-10,1.2421457787110396e-7,A,F46C8.6
sqt-3,846.4783809885596,5.034460186227827,0.8084638646084559,1.2234794096399018e-10,1.2530311430727426e-7,A,F23H12.4
C25F6.7,19.39578001918004,4.35284944036814,0.6984631216798373,1.699080300496082e-10,1.615825365771774e-7,A,C25F6.7
dpf-6,228.53254102421346,4.504001192148518,0.7293414653095003,2.257211125439895e-10,1.9806005021222732e-7,A,F44B9.1
qua-1,83.79296270810086,4.036394411079974,0.6508514828466981,2.3801718517317387e-10,1.9806005021222732e-7,A,T05C12.10
lin-42,131.78539604830345,4.259741819040004,0.7056721900256094,6.037214299406952e-10,4.728204187194362e-7,A,F47F6.1
clec-180,31.91536761942957,5.627182033951672,1.0144355529491853,4.843369314526428e-9,3.5824788363113815e-6,A,F32E10.3
C28C12.4,54.88451712189909,4.0172931259125795,0.7145358183936514,7.838062902482366e-9,5.492419446507906e-6,A,C28C12.4
F23H12.5,77.46201369600522,3.4901236692012327,0.6259329484468711,1.2471219695407302e-8,8.30209095123264e-6,A,F23H12.5
noah-1,160.66137088900686,4.514566607947985,0.8338836981207354,1.9648854284489756e-8,1.2060746783171016e-5,A,C34G6.6
T27A10.6,56.472973761365,4.577307756824478,0.8468230034248257,1.992912942990554e-8,1.2060746783171016e-5,A,T27A10.6
F11E6.9,33.08713879455302,5.38622356896829,1.0272235938941185,2.8823385864602875e-8,1.6684980843535767e-5,A,F11E6.9
T12E12.6,18.892532123079405,5.181706631995725,0.9876730696254477,3.240404356550124e-8,1.7976143167961812e-5,A,T12E12.6
lpr-4,141.99342832426228,6.292402656244678,1.2907113004420616,7.965616788694276e-8,4.242168876987023e-5,A,W04G3.3
dpy-8,74.88714580554908,6.144309400909693,1.2671606239210504,1.0110477274737825e-7,5.1773420936869e-5,A,C31H2.2
dpy-3,27.884188414713776,5.004142660258693,0.9974150735652648,1.0931901652415355e-7,5.390642170379927e-5,A,EGAP7.1
lron-2,20.662375982949836,5.208386981676273,1.0501024082262183,1.2489825184683272e-7,5.9389118753168964e-5,A,ZK682.5
col-17,246.49987734498183,5.854650921607083,1.2665100414270156,3.0150979097678234e-7,1.33810045235496e-4,A,F11G11.10
C39B5.16,61.58958918042657,2.1255464789564487,0.43837306072404264,3.334820045458164e-7,1.3874935651634373e-4,A,C39B5.16
T03G6.1,20.19611769686456,5.134064659906891,1.0843189016739962,3.2844032886400137e-7,1.3874935651634373e-4,A,T03G6.1
K04H4.2,265.50804501322557,5.640432070340614,1.2288280487366199,3.9509821621831816e-7,1.5940417123426327e-4,A,K04H4.2
mlt-9,102.43411332862145,5.625552483881874,1.2310803488252358,4.2752529939426833e-7,1.6741387753339083e-4,A,F09B12.1
F49E11.2,18.080700218779935,4.572282583864337,0.9854769966890109,6.236915895286892e-7,2.3725228065671336e-4,A,F49E11.2
noah-2,66.98146075668953,3.5067234826289764,0.7559640852428563,9.012366658797115e-7,3.333073602645133e-4,A,F52B11.3
bus-8,48.03089268065892,4.604235389540521,1.0211107664529941,9.40567881870885e-7,3.384519129521341e-4,A,T23F2.1
T19B10.2,177.91453780073553,2.989022299416335,0.6565039657133052,1.2512904639035692e-6,4.384126641161084e-4,A,T19B10.2
col-46,10.959568854388221,6.099401412142495,1.5404912472303454,1.4136302205097229e-6,4.825916091247807e-4,A,Y18H1A.13
dpy-2,116.77668313932406,5.723721492357251,1.4426801537106377,1.8865834828477545e-6,6.279493122658751e-4,A,T14B4.6
Y55F3BR.2,29.72466614499815,5.630266033859719,1.4303017050555693,2.1484351556627937e-6,6.976650161584009e-4,A,Y55F3BR.2
zmp-2,200.9734998365992,2.8463593390811575,0.6622208899153816,2.484266388365717e-6,7.582901050974546e-4,A,H19M22.3
dpy-9,69.03439014062471,4.24751080652624,1.0078211859761477,2.424019435414823e-6,7.582901050974546e-4,A,T21D12.2
sym-1,179.66271447497877,3.4840830334849677,0.8135632251102878,2.5059910338206405e-6,7.582901050974546e-4,A,C44H4.3
C34B7.1,14.799887780895846,-5.111575461760295,1.294216790167612,2.921090359033973e-6,8.642532675595181e-4,A,C34B7.1
Y64H9A.2,14.16352690843734,4.896263579444974,1.2352162469503287,3.187275150154239e-6,9.225082901989899e-4,A,Y64H9A.2
grd-1,12.181124746601967,4.256071287834004,1.0526657799563126,3.5579941312004347e-6,9.868986221417207e-4,A,R08B4.1
R07E3.6,13.800442340026322,5.7583254906651975,1.6005189875473729,3.519729925616042e-6,9.868986221417207e-4,A,R07E3.6
C05G5.7,57.17566516101398,3.4610654520303776,0.8642417550318128,4.686547810771232e-6,0.0012711772073325715,A,C05G5.7
sqt-1,63.24288622871858,5.622638786387985,1.6227975268279844,4.773836590553446e-6,0.0012711772073325715,A,B0491.2
lpr-6,168.68256297775963,4.655866798167276,1.2356684553670374,5.190824827271909e-6,0.0013551106225548667,A,W04G3.1
rml-3,24.811806144089996,5.1394717400893,1.4738968025065333,6.415941193300785e-6,0.0016427277124539741,A,C14F11.6
peb-1,343.082492252845,2.1885904566404566,0.5913965918133697,7.063133958617446e-6,0.0017743125570760885,A,T14F9.4
pqn-32,8.783218232353793,5.757987806655899,1.9605872601386192,8.183757575795208e-6,0.002017750895632174,A,F29C12.1
lpr-1,24.18231599761011,3.0317439144828944,0.8249371885108007,8.903678552573418e-6,0.0021418213099716602,A,Y65B4BR.2
VZK822L.2,17.958083608416054,4.150966108956544,1.1666422503554337,9.008712134475964e-6,0.0021418213099716602,A,VZK822L.2
mboa-1,34.024678467775914,3.1629391491959127,0.8652088756714795,9.187066562424403e-6,0.0021459053370547106,A,B0395.2
C18B2.3,17.694618321507267,2.940209475170151,0.828046939059475,1.0941560951469183e-5,0.002427932375131012,A,C18B2.3
F52F10.2,18.750831824421027,4.835525231901122,1.4893441046729394,1.0796617729743932e-5,0.002427932375131012,A,F52F10.2
K08B12.1,9.472460634983664,5.519591166914548,1.9216431127143891,1.0810072919132516e-5,0.002427932375131012,A,K08B12.1
T06G6.6,14.337347645170611,4.396625867726691,1.3063940367528168,1.1136417938947014e-5,0.0024306601383465663,A,T06G6.6
cdh-5,22.681130312547392,3.992534186716251,1.2116256961366318,1.4182083453035698e-5,0.003045488049898666,A,F08B4.2
F41E6.8,6.3206075058948725,5.206986840089462,1.8468146905598717,1.4633259060352153e-5,0.003092495414754422,A,F41E6.8
rol-8,32.88952229319193,4.10221508341598,1.2691281842262319,1.5035559336533762e-5,0.003127866203228289,A,ZK1290.3
C09F9.2,434.30213483359194,2.8461188688705716,0.8544644250076484,1.5415138532657616e-5,0.0031574946834431305,A,C09F9.2
Y47H10A.4,7.440634662365689,4.694447699181009,1.5600850839303557,1.5974993628131973e-5,0.0031755372605010716,A,Y47H10A.4
T17H7.1,40.16307738922903,5.122555080521709,1.8330237176320388,1.5980246090849616e-5,0.0031755372605010716,A,T17H7.1
clec-139,36.28274873420536,-3.9454891276418813,1.264847292508431,1.8511596337751023e-5,0.003624461671188487,A,F35D11.10
paqr-3,9.415125862681807,5.302376831162476,2.1446198792295337,1.9053220797840645e-5,0.003676443213078991,A,Y67A10A.8
Y37A1B.7,19.07550315104295,4.698839940993552,1.6778478105216243,2.067724071583817e-5,0.0039328111841524195,A,Y37A1B.7
txdc-12.2,87.68129508636008,2.1545629884930593,0.7309398078053316,2.3696074888827773e-5,0.004443514662955676,A,F49H12.5
ins-27,180.250768554163,1.881163192667751,0.6707551346278128,2.60526684820094e-5,0.004817572613464905,A,ZC334.11
zip-5,85.04722155967553,2.1515881369224523,0.7620057248534459,2.8511533020825084e-5,0.005200034940263906,A,C34D1.5
F09F9.2,6.368768650294,4.522783999718145,1.8476344570438716,3.426556482391881e-5,0.006165023379265608,A,F09F9.2
cuti-1,90.50179781559633,2.645887300527677,0.9638469358814798,3.565167828928179e-5,0.006245611115046023,A,ZC328.1
C52G5.2,52.822530929483165,2.098303875683428,0.7860459526350693,3.521664879947794e-5,0.006245611115046023,A,C52G5.2
hhat-1,8.97103831386138,4.739397270524299,2.1212454430124974,3.698535706077337e-5,0.00639510446632645,A,ZC101.3
atf-8,12.017021629041855,4.515231475599974,1.9218701978208999,3.8299830165979634e-5,0.006451768323889192,A,F17A9.3
ztf-30,14.91691266895232,3.8169344753094974,1.4710401587612176,3.876682183499589e-5,0.006451768323889192,A,C06E1.8
D1054.9,7.886697903229807,4.83836540479671,2.3088596196557396,3.8208140711602435e-5,0.006451768323889192,A,D1054.9
atf-2,43.76428794760494,3.6565221675429895,1.410979551009078,4.067168638367097e-5,0.006603693079417015,A,K08F8.2
T28B8.1,127.69675265241963,2.950293212058821,1.1213301305859522,4.239914360824563e-5,0.006801231301207015,A,T28B8.1
B0365.9,8.001503399033911,4.008429902569705,1.6305173058524527,4.3159180507538913e-5,0.006840730110444918,A,B0365.9
Y105E8A.13,11.3781840780276,4.19534213950185,1.7791801916277898,4.496289299678716e-5,0.007042775968932049,A,Y105E8A.13
calu-1,264.1137378648268,1.352283783194179,0.5962497294631105,4.5949290426317e-5,0.007113591310883542,A,M03F4.7
nep-1,158.1217998689172,2.150466172112036,0.8669424467111726,4.75095435719959e-5,0.007187977989972198,A,ZK20.6
C13C12.2,26.316536972327082,3.955750322045008,1.6444304494981705,4.699356341685068e-5,0.007187977989972198,A,C13C12.2
T16G1.2,17.452828046342916,4.229146244273985,1.858486736532624,4.860441507102607e-5,0.0072710020478161915,A,T16G1.2
Y73E7A.8,13.55489697275128,4.0050420137904705,1.7393968699871372,5.223723833020875e-5,0.0077276287903155485,A,Y73E7A.8
T19A5.3,13.354653120155048,4.235550713093932,1.9402252873187313,5.3656590106589694e-5,0.007850371875594894,A,T19A5.3
pitr-3,36.59394569436197,3.792889708022531,1.6300226103424549,5.491877448914716e-5,0.007947701777701143,A,B0222.3
K02E10.4,13.307657937536675,4.160423548387138,1.9030317651253779,5.562613287093233e-5,0.007963508957457989,A,K02E10.4
C48D5.3,6.396298945943118,4.494064186446697,2.6842794771039165,6.392982075444716e-5,0.009054910994943717,A,C48D5.3
T20B6.3,25.81219707154271,2.801893878444448,1.2158339073167854,6.717385224138279e-5,0.009414238618334425,A,T20B6.3
Y45F10D.7,27.68271602720566,-1.2748942701941828,0.650473196762301,7.599025541124888e-5,0.01053889854734758,A,Y45F10D.7
