gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
spp-2,18.616569738637473,18.944534309412134,2.5360864233056852,2.4405747953339328e-14,2.452981050543547e-11,B,T08A9.12
gst-12,181.19039174350883,4.058510294093167,0.6110625319294694,2.6294967576205692e-12,1.5102076377934138e-9,B,F37B1.2
C27D9.1,5.8339586043158205,17.20435137999669,3.105827252330124,2.366832067328822e-10,1.1418544625621168e-7,B,C27D9.1
spp-5,455.0061347635739,2.9067674255754294,0.6442472738719522,1.2003278398353234e-6,1.664040698419981e-4,B,T08A9.9
spp-1,86.19099564028326,3.073154098226869,0.6886003612182514,1.302686068456561e-6,1.7653591765904024e-4,B,T07C4.4
nuc-1,54.70540908643105,3.111886062926968,0.7167135007810864,1.9784772521413256e-6,2.4349402181710742e-4,B,C07B5.5
ldp-1,483.70096588118605,-1.9011657404391227,0.44295348649781674,2.4466928493623306e-6,2.950956245615907e-4,B,F22F7.1
ugt-31,11.990342982132317,4.904838662850095,1.6779681357862812,6.416304491106602e-6,7.035186224294247e-4,B,Y39G10AR.6
pqn-52,278.5271954385697,2.5850446293970175,0.646142250408808,7.51933793518478e-6,8.09738703895211e-4,B,M01E11.4
dlst-1,1063.8456187891595,1.5671209241173696,0.42529453606689416,1.2393821782292033e-5,0.001245682370968535,B,W02F12.5
F57F5.1,294.4844615409801,3.4235320184195457,0.9575003139612812,1.3253611767563032e-5,0.0013102607502342436,B,F57F5.1
F59C6.14,23.94165013755042,4.432417343490543,1.768423956453097,2.0918026309259992e-5,0.0018969347016239457,B,F59C6.14
oac-32,23.530182935239274,4.370132150604652,2.048822682188979,2.884147808961344e-5,0.0024545115616281285,B,F52F10.4
F17C11.11,67.49433901727994,2.8959248217241846,0.8703060381760146,3.199886056768388e-5,0.002661643153840243,B,F17C11.11
T05B4.10,12.7541346284405,4.098554224952848,1.7730930628315116,4.076582548786432e-5,0.0031962758400322496,B,T05B4.10
C06H5.8,20.61096816582246,4.084579515782949,1.8235278323593525,4.3783866522728934e-5,0.003363549134590023,B,C06H5.8
ztf-9,20.033380166514196,-2.152538865148672,0.6615022395581586,4.48182262654827e-5,0.0034212191581518155,B,ZK287.6
C18G1.6,9.759295169361797,4.097819206944655,1.9416460695384417,4.591957515484656e-5,0.003461474974641277,B,C18G1.6
Y39B6A.1,62.52843836909523,3.906505055564513,2.0577626014445447,6.645946911451638e-5,0.004554361687444216,B,Y39B6A.1
hmit-1.2,655.0924247451118,-2.4546884195635226,0.8161410525658886,6.884821863375535e-5,0.004691297451218261,B,Y51A2D.5
phat-5,12.716668671373574,3.772617341438208,2.376718151370497,7.371572184555186e-5,0.004939362895440006,B,T05B4.11
mua-6,224.28006343183074,2.9375623950349135,1.0569691834876516,8.03523656899569e-5,0.0051549461839711175,B,W10G6.3
