"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents";"evidence_codes";"intersection";"tp"
"query_1";TRUE;6,26845520400704e-06;382;76;13;0,171052631578947;0,0340314136125654;"GO:0005576";"GO:CC";"extracellular region";15255;241;"GO:0110165";"IBA,ISS,IEA,ISS,IBA,IEA,IEA,IEA,IBA,IEA,IEA,IBA,IBA";"C39E9.4,W04G3.8,ZK84.7,W04G3.2,ZK384.2,K01A2.2,F53C11.9,T07C4.5,Y43F8B.5,Y69H2.10,C14C10.7,W01F3.2,W01F3.3";"3h"
"query_1";TRUE;1,66297924467688e-08;99;1155;30;0,025974025974026;0,303030303030303;"GO:0007218";"GO:BP";"neuropeptide signaling pathway";15255;3129;"GO:0007186";"IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA";"F35B12.7,E03D2.2,D2005.2,C01A2.7,D1009.4,F42G9.4,C45G9.13,C16D6.2,C04H5.8,C26F1.10,C38C10.6,F26A10.1,C16D2.2,C18D1.3,F14F11.2,F49E10.3,T01B6.4,Y12A6A.2,F09E8.8,CC4.2,Y67D8B.4,C56G3.1,Y47D3B.2,C02B4.4,Y48D7A.2,K04H4.7,T24D8.5,C53C7.1,Y113G7A.15,T05A1.1";"6h"
"query_1";TRUE;2,92574194009258e-07;60;1155;20;0,0173160173160173;0,333333333333333;"KEGG:01212";"KEGG";"Fatty acid metabolism";15255;186;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"W06D12.3,T08B2.7,Y57A10C.6,T15B7.2,M03A8.1,B0303.3,F08A8.1,E04F6.3,T25G12.5,T08B1.6,Y76A2B.3,F58F9.7,B0272.3,F10D2.9,F56H11.4,F28F8.2,T08G2.3,C46F4.2,F01G10.3,F08A8.2";"6h"
"query_1";TRUE;4,83429358297874e-07;382;1155;63;0,0545454545454545;0,164921465968586;"GO:0005576";"GO:CC";"extracellular region";15255;241;"GO:0110165";"IBA,IBA,IEA,IBA,IDA IBA IEA,IEA,IEA,IDA IBA,ISS,IEA,IBA,IBA,IC,IDA,IEA,ISS,IEA,ISS,IBA,IEA,IEA,IEA,IEA,IBA,IEA,IEA,IEA,IEA,IBA,IDA IBA IEA,IBA,IBA,IBA,IEA,IEA,IBA TAS IEA,IBA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IBA,IEA,IEA,IEA,IDA IBA IEA,IEA,IEA,IEA,IEA,ISS,IEA,IBA,IEA,IEA,IBA IEA,IEA";"C39E9.4,W07B8.1,ZC334.10,ZK384.2,R01B10.1,C15C8.3,C01A2.7,F11C7.5,W04G3.2,F53C11.9,K08B4.6,H10D18.2,C26F1.10,C44H4.3,Y69H2.10,C11E4.1,F37H8.5,W04G3.1,W01F3.3,W09C5.4,JC8.8,F32A5.4,T06E6.10,F55F3.2,Y48A6A.1,ZK84.7,C18D1.3,Y5F2A.2,Y43F8B.5,F32B5.8,ZC376.2,F49E11.6,F57F5.1,B0024.14,T04H1.3,F11C7.3,T15B7.1,Y73F4A.1,K01A2.2,Y39B6A.20,T28B4.3,F07F6.8,C25E10.7,ZK75.1,F58A3.5,ZC64.2,ZC334.8,F35G2.1,K04H4.7,H02I12.1,Y51A2D.11,T03E6.7,Y51A2D.10,F54D7.4,C14F5.2,R90.2,W04G3.8,F10G7.11,T21D11.1,R90.4,C06E2.8,K07C11.3,JC8.14";"6h"
"query_1";TRUE;4,17908945690504e-06;69;1155;20;0,0173160173160173;0,289855072463768;"KEGG:04146";"KEGG";"Peroxisome";15255;263;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"F59B8.2,Y57A10C.6,C47B2.8,F58A6.1,M03A8.1,F08A8.1,E04F6.3,ZK1320.1,T08B1.6,Y76A2B.3,F58F9.7,F13H10.2,F32A5.6,F28F8.2,C08A9.1,C46F4.2,C34C6.6,ZK430.3,F08B12.2,F08A8.2";"6h"
"query_1";TRUE;2,22319489650587e-05;45;1155;15;0,012987012987013;0,333333333333333;"KEGG:00071";"KEGG";"Fatty acid degradation";15255;11;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"T08B2.7,D2063.1,B0303.3,F08A8.1,K12G11.3,T25G12.5,T08B1.6,Y76A2B.3,F58F9.7,B0272.3,F28F8.2,T08G2.3,C46F4.2,F01G10.3,F08A8.2";"6h"
"query_1";TRUE;0,000271444735328977;25;1155;10;0,00865800865800866;0,4;"KEGG:01040";"KEGG";"Biosynthesis of unsaturated fatty acids";15255;163;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"W06D12.3,Y57A10C.6,T15B7.2,M03A8.1,F08A8.1,E04F6.3,F58F9.7,F10D2.9,F56H11.4,F08A8.2";"6h"
"query_1";TRUE;0,000436043980124324;4;1155;4;0,00346320346320346;1;"WP:WP2224";"WP";"Ascaroside Biosynthesis";15255;43;"WP:000000";"WP,WP,WP,WP";"Y57A10C.6,M03A8.1,F08A8.1,E04F6.3";"6h"
"query_1";TRUE;0,00155392677196729;848;1155;96;0,0831168831168831;0,113207547169811;"KEGG:01100";"KEGG";"Metabolic pathways";15255;181;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"C29E4.8,W06D12.3,R02D3.1,F47G4.7,T08B2.7,F59B8.2,T24A11.1,Y57A10A.23,T09B4.8,F23H11.3,C49F5.1,K02F2.2,T21C12.2,Y57A10C.6,C15H9.7,T15B7.2,F27D4.5,F20B6.2,F42D1.2,D2063.1,ZK652.9,F07H5.9,JC8.5,ZC395.10,C54G7.2,R11F4.1,C11E4.1,M03A8.1,B0303.3,ZK1058.6,F07A11.2,F08A8.1,K12G11.3,F59F4.4,E04F6.3,T23G5.1,ZK1320.1,ZK1127.10,Y66H1B.4,K07A12.3,T25G12.5,T08B1.6,C16A3.10,C05C10.3,Y76A2B.3,ZK546.11,F58F9.7,F35G12.10,T05A12.2,B0272.3,F13H10.2,F10D2.9,F32G8.6,C46H11.4,C05D11.11,F44E7.2,F56H11.4,D2023.5,T13B5.3,Y47D3B.10,F52B11.2,F26D10.10,ZK455.1,F35G2.4,F32B6.2,F28F8.2,ZK455.4,R13D7.7,T08G2.3,F09F7.4,Y43F4B.5,C47B2.6,C46F4.2,C28D4.3,E01F3.1,T07F10.1,C05D2.4,F37B1.1,C50F7.4,F11G11.3,K09E4.4,Y48B6A.13,F30F8.2,F26E4.12,T22G5.5,F01G10.3,K06A4.5,T03F6.3,F02H6.5,Y7A5A.1,F43H9.2,C34G6.2,ZK783.2,F08A8.2,ZC443.5,Y4C6B.6";"6h"
"query_1";TRUE;0,00235230431759241;421;1155;59;0,0510822510822511;0,140142517814727;"GO:0055114";"GO:BP";"obsolete oxidation-reduction process";15255;16857;"character(0)";"IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA";"W06D12.3,R02D3.1,K07C6.4,T08B2.7,F59B8.2,T21C12.2,DC2.5,C45B11.3,C06B3.3,T05H4.5,T10H4.11,D2063.1,C11E4.1,F49E12.9,M03A8.1,F14F7.3,F25D1.5,K07C6.3,F08A8.1,C12D8.5,K12G11.3,K09H11.1,T23G5.1,R08H2.1,T25G12.5,F20G2.2,T11F9.11,F22F7.1,R05D8.10,F58F9.7,B0272.3,C45H4.17,C04F6.5,F10D2.9,C36A4.2,F41B5.3,K11H3.1,Y47D3B.10,T09H2.1,F53F4.5,C55A6.6,F35G2.4,T08G2.3,F35G2.1,F55E10.6,Y47G6A.21,C08A9.1,T19B10.1,ZK430.3,F26E4.12,F22F7.2,F01G10.3,K06A4.5,F02H6.5,Y7A5A.1,C06E4.3,C34G6.2,C49G7.8,F08A8.2";"6h"
