"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"parents";"evidence_codes";"intersection"
"query_1";TRUE;3,83459280118153e-17;529;214;41;0,191588785046729;0,0775047258979206;"GO:0016491";"GO:MF";"oxidoreductase activity";15401;3552;"GO:0003824";"IBA IEA,IBA IEA,IEA,IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IBA IEA,IEA,IDA IBA IEA,IEA,IBA IEA,IDA IBA IEA,IEA,IEA,ISS IBA IEA,IEA,IBA IEA,IDA IMP IBA IEA,IEA,IBA IEA,IEA,IDA ISS IBA IEA,IBA IEA,IBA IEA,ISS IBA IEA,IBA,IBA IEA,IEA,IBA IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,ISS IBA IEA,IEA";"H24K24.5,T11F9.11,C36A4.3,F02C12.5,K10D2.6,D2063.1,F55A12.4,T05H4.13,F58F9.7,Y38C9B.1,K09A11.3,ZK550.6,F14F7.3,F08A8.1,C17G10.8,C07D8.6,F54F3.4,C34G6.2,Y32H12A.3,Y38F1A.6,T19B10.1,F53C11.3,Y54G11A.5,C32D5.12,F15E6.6,D1054.8,R11D1.11,Y54G11A.13,F01G10.2,K11H3.1,E04F6.3,C06B3.3,C36A4.2,T01D1.4,M03A8.1,Y5H2B.5,C03G6.15,C45B11.3,C24G6.6,W06D12.3,ZK1320.4"
"query_1";TRUE;9,2833925697204e-16;72;214;18;0,0841121495327103;0,25;"GO:0042579";"GO:CC";"microbody";15401;2035;"c(""GO:0005737"", ""GO:0043231"")";"IDA IBA IEA,IEA,IDA IBA IEA,IBA,IBA IEA,IEA,IDA IEA,IBA IEA,IDA IEA,IDA IBA IEA,IBA,IBA,IBA,ISS IBA,IDA IEA,IBA,IBA,IBA IEA";"F58F9.7,B0272.4,F08A8.1,Y87G2A.2,C44B7.9,C17G10.8,C01G6.7,Y75B8A.4,Y57A10C.6,Y54G11A.5,Y54G11A.13,F01G10.2,T20B3.1,E04F6.3,M03A8.1,D2021.4,C34C6.6,F08B12.2"
"query_1";TRUE;9,2833925697204e-16;72;214;18;0,0841121495327103;0,25;"GO:0005777";"GO:CC";"peroxisome";15401;420;"GO:0042579";"IDA IBA IEA,IEA,IDA IBA IEA,IBA,IBA IEA,IEA,IDA IEA,IBA IEA,IDA IEA,IDA IBA IEA,IBA,IBA,IBA,ISS IBA,IDA IEA,IBA,IBA,IBA IEA";"F58F9.7,B0272.4,F08A8.1,Y87G2A.2,C44B7.9,C17G10.8,C01G6.7,Y75B8A.4,Y57A10C.6,Y54G11A.5,Y54G11A.13,F01G10.2,T20B3.1,E04F6.3,M03A8.1,D2021.4,C34C6.6,F08B12.2"
"query_1";TRUE;6,2275755981717e-13;68;214;15;0,0700934579439252;0,220588235294118;"KEGG:04146";"KEGG";"Peroxisome";15401;266;"KEGG:00000";"KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG";"Y25C1A.13,F58F9.7,ZK550.6,F08A8.1,C44B7.9,F54F3.4,Y57A10C.6,Y54G11A.5,Y54G11A.13,T20B3.1,F58A6.1,E04F6.3,M03A8.1,C34C6.6,F08B12.2"
"query_1";TRUE;5,34001424542707e-08;158;214;17;0,0794392523364486;0,107594936708861;"GO:0006631";"GO:BP";"fatty acid metabolic process";15401;2603;"c(""GO:0032787"", ""GO:0044255"")";"IBA IEA,IBA IEA,IDA IBA IEA,IBA,IBA,IEA,IEA,IBA,IMP,IBA IEA,ISS IBA,IMP,IBA IEA,IBA,IMP,IGI IBA IEA,IEA";"F58F9.7,ZK550.6,F08A8.1,Y87G2A.2,C44B7.9,D1009.1,C01G6.7,F53C11.3,Y57A10C.6,F01G10.2,E04F6.3,M03A8.1,K05B2.4,D2021.4,F46G10.6,W06D12.3,F27E5.1"
"query_1";TRUE;1,13311678667036e-07;132;214;15;0,0700934579439252;0,113636363636364;"GO:0016705";"GO:MF";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";15401;3678;"GO:0016491";"IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IBA IEA,ISS IBA IEA,IEA";"H24K24.5,C36A4.3,F02C12.5,Y38C9B.1,K09A11.3,ZK550.6,F14F7.3,C34G6.2,T19B10.1,C06B3.3,C36A4.2,Y5H2B.5,C03G6.15,W06D12.3,ZK1320.4"
"query_1";TRUE;2,161618023244e-07;97;214;13;0,0607476635514019;0,134020618556701;"GO:0004497";"GO:MF";"monooxygenase activity";15401;1099;"GO:0016491";"IBA IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IBA IEA,IEA";"H24K24.5,C36A4.3,F02C12.5,Y38C9B.1,K09A11.3,F14F7.3,C34G6.2,T19B10.1,C06B3.3,C36A4.2,Y5H2B.5,C03G6.15,ZK1320.4"
"query_1";TRUE;4,45820276714589e-07;3527;214;88;0,411214953271028;0,0249503827615537;"GO:0003824";"GO:MF";"catalytic activity";15401;514;"GO:0003674";"IBA IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IEA,IBA IEA,IEA,IEA,IDA IBA IEA,IBA IEA,IBA IEA,IEA,IBA IEA,IBA,IBA IEA,IBA IEA,IEA,IBA,IEA,IDA IBA IEA,IBA,IEA,IEA,IEA,IDA IBA IEA,IEA,IBA IEA,ISS IBA IEA,IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IDA IEA,IDA IMP IBA IEA,IEA,IBA IEA,IEA,IDA IBA IEA,IDA ISS IBA IEA,IBA IEA,IEA,IBA IEA,IBA IEA,ISS IBA IEA,IBA IEA,IBA IEA,IBA IEA,ISS IBA,IBA IEA,IEA,IBA IEA,ISS IBA IEA,IEA,IDA IBA IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA,IEA,IBA,IBA IEA,IBA IEA,IBA,ISS IBA IEA,IBA IEA,IBA,IBA IEA,IEA,IBA IEA";"H24K24.5,T11F9.11,F10D2.6,C36A4.3,F02C12.5,K10D2.6,D2063.1,Y25C1A.13,F55A12.4,T05H4.13,T03E6.7,W01A11.1,F58F9.7,Y38C9B.1,F14E5.5,K09A11.3,ZK550.6,B0272.4,F14F7.3,F08A8.1,Y87G2A.2,C12C8.2,C17G10.8,C07D8.6,F11A3.1,W10C8.5,F56B6.4,F21F8.3,D1009.1,Y53G8B.2,F54F3.4,F45E1.4,C36A4.9,C34G6.2,Y32H12A.3,C01G6.7,F10D2.11,Y32F6A.5,Y38F1A.6,T19B10.1,F53C11.3,Y75B8A.4,F37B1.5,Y53F4B.33,Y57A10C.6,Y54G11A.5,C32D5.12,F15E6.6,D1054.8,K07C5.5,R11D1.11,Y54G11A.13,C35A5.2,F01G10.2,F37B1.1,K11H3.1,T20B3.1,F37B1.2,F58A6.1,E04F6.3,C06B3.3,C36A4.2,T01D1.4,Y48E1B.10,K07B1.4,T01C3.4,M03A8.1,Y5H2B.5,F21F8.7,W02F12.5,F37B1.3,F28A12.4,K05B2.4,C33C12.8,D2021.4,C03G6.15,F08B12.2,C45B11.3,F01D4.8,C24G6.6,T07D3.9,M7.12,W06D12.3,C55F2.2,Y73B6BL.24,F27E5.1,ZK1320.4,ZC239.7"
"query_1";TRUE;4,69643068256702e-07;4;214;4;0,0186915887850467;1;"WP:WP2224";"WP";"Ascaroside biosynthesis";15401;43;"WP:000000";"WP,WP,WP,WP";"F08A8.1,Y57A10C.6,E04F6.3,M03A8.1"
"query_1";TRUE;5,34732938088993e-07;208;214;18;0,0841121495327103;0,0865384615384615;"GO:0032787";"GO:BP";"monocarboxylic acid metabolic process";15401;9026;"GO:0019752";"IBA IEA,IBA IEA,IDA IBA IEA,IBA,IBA,IEA,IEA,IEA,IBA,IMP,IBA IEA,ISS IBA,IMP,IBA IEA,IBA,IMP,IGI IBA IEA,IEA";"F58F9.7,ZK550.6,F08A8.1,Y87G2A.2,C44B7.9,D1009.1,C36A4.9,C01G6.7,F53C11.3,Y57A10C.6,F01G10.2,E04F6.3,M03A8.1,K05B2.4,D2021.4,F46G10.6,W06D12.3,F27E5.1"
